"","1. Successfully understand what challenge code / data is","2. Successfully understand how it works","3. Successfully understand how to interact with code to gather useful output","4. Successfully identify vulnerabilities","Successfully crash program","5. Successfully build exploit leveraging vulnerabilities","6. Complete CTF","Successfully run file on executable","Dumping hex values of potential binary to examine file signatures","Informative CTF description","Known CTF category","Examine encoding (for example, base64 containing binary data)","Ability to run a binary and get meaningful output","Determine language from source code (C, assembly, etc.)","The available code or data is not executable on your system","Find functions or statements that use libraries designed to gather input from stdin or stdout (from user)","Program is a server","Check if accepts GET requests","Understand meaning of response to requests","Source code generates cyphertext","Input random values to successfully identify the structure and format of outputs","Debugger enables stepping through program to see how interactions are occurring","Informative Google results","Successful identification of patterns (ex, mention of "heap")","Available tools based on challenge help identify vulnerability (frequency analysis for crypto, forensics)","Fuzzers blast input on binary and surface exploit for you by crashing program","Craft a script that effectively interacts with program","Able to program/script with Python and use pwntools, cryptographic libraries (pycryptodome), etc.","Successfully find POCs on Github","If web CTF, successfully craft MITM using burpsuite to send malicious data for privilege escalation / impersonate someone else with cookie / etc.","(Surprise) Tools are wrong, file results are misleading","Results of examinations are inconclusive","Discover that code mimics a certain challenge or vulnerability to throw off attackers","Executable is made for a different OS","Successfully virtualize","Know how to effectively virtualize or emulate","Source code is obfuscated","Source code is .js","Symbols of binary are stripped","Difficulty encountered reading the code","Successfully examine source code","Identify reversible operations in the source code","Determine vulnerable or misused functions","Identify stack protections: non-executable stack, randomized addresses, stack canaries","(Time waster) Discover misleading belief that something is vulnerable","Run checksec, otool (mac)","Past experience informs what to look for","Using wrong exploit","Math is wrong","Pattern isn't what you think it is","Jumping to conclusions","Make assumptions to see whether/if something works","Perceived progress","Double down on assumptions","Approach possible vulnerability with skepticism"
"Able to program/script with Python and use pwntools, cryptographic libraries (pycryptodome), etc.","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Successfully find POCs on Github","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"If web CTF, successfully craft MITM using burpsuite to send malicious data for privilege escalation / impersonate someone else with cookie / etc.","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Surprise) Tools are wrong, file results are misleading","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","0.98","","","","","","","","","","","","","","","","","","","","","","",""
"Results of examinations are inconclusive","","","","","","","","-1","-1","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discover that code mimics a certain challenge or vulnerability to throw off attackers","1","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Executable is made for a different OS","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Successfully virtualize","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Know how to effectively virtualize or emulate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Source code is obfuscated","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"Source code is .js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98","","","","","","","","","","","","","","","","","",""
"Symbols of binary are stripped","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"Difficulty encountered reading the code","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Successfully examine source code","","","","1","","","","","","","","","","","","1","","","","","","","","1","","1","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"Identify reversible operations in the source code","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Determine vulnerable or misused functions","","","1","1","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Identify stack protections: non-executable stack, randomized addresses, stack canaries","1","","","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Time waster) Discover misleading belief that something is vulnerable","1","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run checksec, otool (mac)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"Past experience informs what to look for","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
"Using wrong exploit","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
"Math is wrong","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pattern isn't what you think it is","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
"Jumping to conclusions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","","1","1","","","","",""
"Make assumptions to see whether/if something works","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"Perceived progress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.77",""
"Double down on assumptions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","0.98","","","",""
"Approach possible vulnerability with skepticism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1",""
