"","1. Successfully enumerate the challenge","2. Successfully set up environment with target","3. Successfully interact with target","4. Successfully complete target process analysis","5. Successfully identify + rank vulnerabilities / weaknesses","6. Successfully test weaknesses, yield abnormal results","7. Successfully complete the CTF","Have access to the target(s)","Have access to the right toolset to set up target","Restricted access / control as a target characteristic","Errors arise in your environment","Successfully overcome errors in environment","Have expertise / familiarity with the target","Have access to the right toolset to interact with target","Successfully implement tool","Experience with toolset","Disruptive target behaviors","Target is poorly implemented","Target has inaccessible dependencies","Modification: Emulate target behavior","Modification: Modify parts of target","Code smell: Intention and quality of development is poor","Code smell: Robustness of target structure is poor","Older binaries","Proprietary binaries","Explore full capabilities of functionalities","Discover inputs that change target behavior","Static: Understand functionalities at rest","Ability to review source code","Have access to the right toolset to interrogate target","Dynamic: Understand functionalities at execution","Succeed with guess & check","Successfully use Fuzzer, or strace, or others","Successfully use decompiler","Protocol familiarity, including conventions and standards","Prior knowledge","Behavior matches known vulnerability patterns","Code is highly complex","Behavior is hard to discern","Successfully rank vulnerabilities by likelihood of being the critical fault of challenge","Identify potential vulnerabilities and solutions to CTF immediately","Decide to make assumptions + test initial hypotheses quickly","Lower point value CTF","Accurate understanding of functionalities","CTF docks points for inaccurate guesses","Target obscurity","(Surprise) Unexpected issue","(Time waster) "Rabbit holes" when examining attack surfaces","(Surprise) Discovery of new functionality","Missed a check","Weakness is not exploitable","Critical local vs. remote environment differences"
"Have access to the right toolset to interrogate target","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0.9","","","","","","","","","","","","","","","","","",""
"Dynamic: Understand functionalities at execution","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","",""
"Succeed with guess & check","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Successfully use Fuzzer, or strace, or others","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Successfully use decompiler","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Protocol familiarity, including conventions and standards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Prior knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","",""
"Behavior matches known vulnerability patterns","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Code is highly complex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","",""
"Behavior is hard to discern","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","",""
"Successfully rank vulnerabilities by likelihood of being the critical fault of challenge","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Identify potential vulnerabilities and solutions to CTF immediately","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
"Decide to make assumptions + test initial hypotheses quickly","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","",""
"Lower point value CTF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
"Accurate understanding of functionalities","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","",""
"CTF docks points for inaccurate guesses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","","","",""
"Target obscurity","","","","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"(Surprise) Unexpected issue","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Time waster) "Rabbit holes" when examining attack surfaces","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Surprise) Discovery of new functionality","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
"Missed a check","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Weakness is not exploitable","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Critical local vs. remote environment differences","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
