"","1. Overview: Understand system at large","2. Successfully collect data","3a. (HW) Successful physical Interfacing","3b. (HW) Successfully obtain Access","4. Successfully exploit components","(HW) Fail to obtain access","(FW/SW) successfully collect data: What software + features, what languages","(FWSW) Fail to obtain access","Successfully exploit components","Successfully obtain access","5. Capture Flag","Successfully identify subcomponents","Successfully ID component inferfacing","Manufacturer datasheets available","Successfully find datasheet online","Determine data wanted from datasheet via RE","Fail to find datasheet online","Physical requirements determined","Data protocol is understandable","Necessary physical tools are available","Tool software component is available and usable","Partial access","Successfully ID security mechanisms","RE knowledge","Prior knowledge","Online knowledge","Partial access","Obtain necessary primitives","Lack of subcomponent documentation","Lack of prior knowledge","Perform RE to identify key components (of functional interest)","Write interface-specific tool software","Hardware labels","Obfuscation","Code obfuscation","Encryption","Mislabeling","Surprise: Damage testing device","RE components of NOT functional interest (distraction)","Prioritize components that inform goal of obtaining access","Interface purpose is not useful","FW/SW security mechanisms","Available list of security mechanisms enable identifying security mechanisms in place","Identify what to exploit","Have to go through another layer of security"
"Successfully ID component inferfacing","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Manufacturer datasheets available","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Successfully find datasheet online","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Determine data wanted from datasheet via RE","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fail to find datasheet online","","","","","","","","","","","","","","-1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Physical requirements determined","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Data protocol is understandable","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Necessary physical tools are available","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tool software component is available and usable","","","0.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Partial access","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Successfully ID security mechanisms","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RE knowledge","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Prior knowledge","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Online knowledge","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Partial access","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Obtain necessary primitives","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
"Lack of subcomponent documentation","","","","","","","","","","","","-1","","","","","","-0.74","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"Lack of prior knowledge","","","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","0.85","","","","","","","","","","","","","",""
"Perform RE to identify key components (of functional interest)","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Write interface-specific tool software","","","0.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hardware labels","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Obfuscation","","","","","","","-1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Code obfuscation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","",""
"Encryption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","",""
"Mislabeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","",""
"Surprise: Damage testing device","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","","","","","","","",""
"RE components of NOT functional interest (distraction)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","","","","","","","",""
"Prioritize components that inform goal of obtaining access","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","-1","","","","","",""
"Interface purpose is not useful","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FW/SW security mechanisms","","","","","","","-1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Available list of security mechanisms enable identifying security mechanisms in place","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"Identify what to exploit","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Have to go through another layer of security","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
