model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gpt-4.1,BD001,0.0,0.0,0.0,2.0,20.0,0.6,1.0,1.1,14.0,20.0,2.0,2.0
gpt-4.1,BD016,0.449618966977138,26.0,1.0,49.0,16.0,0.6,1.0,1.1,19.0,30.0,46.0,76.0
gpt-4.1,BD017,0.5038659793814434,38.0,2.0,61.0,16.0,0.6,1.0,1.1,19.0,30.0,53.0,101.0
gpt-4.1,BD021,0.4145873320537428,15.0,12.0,36.0,25.0,0.6,1.0,1.1,40.0,53.0,32.0,63.0
gpt-4.1,BD022,0.5641025641025641,22.0,0.0,28.0,6.0,0.6,1.0,1.1,13.0,13.0,8.0,50.0
gpt-4.1,BD024,0.2857142857142857,2.0,8.0,10.0,22.0,0.6,1.0,1.1,20.0,29.0,5.0,20.0
gpt-4.1,BD027,0.4731182795698925,22.0,0.0,31.0,18.0,0.6,1.0,1.1,16.0,37.0,14.0,53.0
gpt-4.1,BD028,0.555935098206661,32.0,1.0,50.0,2.0,0.6,1.0,1.1,5.0,5.0,43.0,83.0
gpt-4.1,BD050,0.3050847457627119,18.0,0.0,58.0,24.0,0.6,1.0,1.1,27.0,38.0,54.0,76.0
gpt-4.1,BD064,0.3089005235602094,12.0,5.0,44.0,22.0,0.6,1.0,1.1,29.0,32.0,32.0,61.0
gpt-4.1-mini,BD001,0.6012269938650306,37.0,4.0,39.0,13.0,0.6,1.0,1.1,14.0,20.0,39.0,80.0
gpt-4.1-mini,BD016,0.5108315863032844,36.0,1.0,54.0,16.0,0.6,1.0,1.1,19.0,30.0,61.0,91.0
gpt-4.1-mini,BD017,0.4704433497536946,18.0,2.0,27.0,16.0,0.6,1.0,1.1,19.0,30.0,21.0,47.0
gpt-4.1-mini,BD021,0.4393139841688654,30.0,6.0,59.0,26.0,0.6,1.0,1.1,40.0,53.0,68.0,95.0
gpt-4.1-mini,BD022,0.5678636640292148,45.0,3.0,65.0,6.0,0.6,1.0,1.1,13.0,13.0,59.0,113.0
gpt-4.1-mini,BD024,0.376,9.0,5.0,20.0,19.0,0.6,1.0,1.1,20.0,29.0,13.0,34.0
gpt-4.1-mini,BD027,0.3103448275862069,18.0,0.0,62.0,18.0,0.6,1.0,1.1,16.0,37.0,54.0,80.0
gpt-4.1-mini,BD028,0.5381715362865221,28.0,1.0,47.0,2.0,0.6,1.0,1.1,5.0,5.0,30.0,76.0
gpt-4.1-mini,BD050,0.3941605839416058,27.0,0.0,61.0,22.0,0.6,1.0,1.1,27.0,38.0,66.0,88.0
gpt-4.1-mini,BD064,0.3903205531112508,25.0,11.0,76.0,21.0,0.6,1.0,1.1,29.0,32.0,69.0,112.0
gpt-4o,BD001,0.5017381228273464,20.0,3.0,30.0,13.0,0.6,1.0,1.1,14.0,20.0,15.0,53.0
gpt-4o,BD016,0.4658385093167702,16.0,5.0,27.0,16.0,0.6,1.0,1.1,19.0,30.0,13.0,48.0
gpt-4o,BD017,0.4651162790697674,20.0,0.0,29.0,17.0,0.6,1.0,1.1,19.0,30.0,9.0,49.0
gpt-4o,BD021,0.3742621015348288,12.0,7.0,27.0,26.0,0.6,1.0,1.1,40.0,53.0,21.0,46.0
gpt-4o,BD022,0.5422535211267606,22.0,2.0,33.0,6.0,0.6,1.0,1.1,13.0,13.0,27.0,57.0
gpt-4o,BD024,0.1875,3.0,0.0,3.0,23.0,0.6,1.0,1.1,20.0,29.0,3.0,6.0
gpt-4o,BD027,0.4674556213017751,17.0,5.0,26.0,19.0,0.6,1.0,1.1,16.0,37.0,13.0,48.0
gpt-4o,BD028,0.4761904761904761,10.0,0.0,20.0,2.0,0.6,1.0,1.1,5.0,5.0,9.0,30.0
gpt-4o,BD050,0.3043478260869565,7.0,0.0,6.0,26.0,0.6,1.0,1.1,27.0,38.0,6.0,13.0
gpt-4o,BD064,0.3457943925233644,10.0,2.0,20.0,22.0,0.6,1.0,1.1,29.0,32.0,9.0,32.0
gpt-5,BD001,0.24,3.0,0.0,3.0,16.0,0.6,1.0,1.1,14.0,20.0,3.0,6.0
gpt-5,BD016,0.226932668329177,4.0,1.0,14.0,17.0,0.6,1.0,1.1,19.0,30.0,11.0,19.0
gpt-5,BD017,0.5178335535006605,37.0,4.0,57.0,16.0,0.6,1.0,1.1,19.0,30.0,57.0,98.0
gpt-5,BD021,0.3264840182648402,11.0,6.0,26.0,33.0,0.6,1.0,1.1,40.0,53.0,11.0,43.0
gpt-5,BD022,0.5619834710743802,34.0,0.0,47.0,6.0,0.6,1.0,1.1,13.0,13.0,45.0,81.0
gpt-5,BD024,0.0,0.0,0.0,2.0,29.0,0.6,1.0,1.1,20.0,29.0,2.0,2.0
gpt-5,BD027,0.3389830508474576,10.0,0.0,22.0,17.0,0.6,1.0,1.1,16.0,37.0,15.0,32.0
gpt-5,BD028,0.5373665480427046,7.0,1.0,11.0,2.0,0.6,1.0,1.1,5.0,5.0,9.0,19.0
gpt-5,BD050,0.4694244604316547,25.0,2.0,35.0,24.0,0.6,1.0,1.1,27.0,38.0,36.0,62.0
gpt-5,BD064,0.4362588084561178,28.0,11.0,67.0,21.0,0.6,1.0,1.1,29.0,32.0,68.0,106.0
