target,Local Jobs,Rec Fishing,Clean Energy Industry Group - Environmental Compliance,OSW Construction,OSW Operation,ONG Decommissioning,Vessels,Artificial Reef,Existing Physical Infrastructure,Existing Ocean Industry (ONG),Existing Economic Infrastructure,Fisheries Compensation Fund - through devs and BOEM,MSP - siting,Air Quality,specific species scour protections,Onshore construction,"Scour protections""""",Local and Regional Income,MSP - spacing and orientation,hydrodynamics(?),Healthcare Costs Saved,Lives Saved,New physical presence,Workforce,Use of existing economic infrastructure,observers,Seasonal restrictions,Rice's Whale,Seagrasses/fragile habitats,MSP - Landfall and onshore resources,Climate Change/Climate Mitigation,New sources of clean energy,noise,Tribal comms/capacity building,landing zones,Noise attenuation,Comm Fishing,,Stakeholder engagement,red tape/development timeline,Federal Presence and processes,Federal Permitting - All Government Approach
Rice's Whale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0,0
Seagrasses/fragile habitats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,Neutral,0,0,0,0,0,0,0
MSP - Landfall and onshore resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Climate Change/Climate Mitigation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0
New sources of clean energy,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tribal comms/capacity building,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
landing zones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noise attenuation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comm Fishing,0,0,0,0,0,0,0,Neutral,0,0,0,0,Neutral,0,Neutral,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stakeholder engagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
red tape/development timeline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral
Federal Presence and processes,0,0,0,Neutral,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Permitting - All Government Approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
