target,population influx and import,utilization of existing knowledge/infra/capacity,community economic benefit,job security,individual economic benefit,OSW Operation,NREL2,OSW Construction,new jobs with transferable skills,cabling landfall,construction/maintenance labor,manufacturing needs (vessels as bottleneck),energy generation/offtake opportunities/transmission,"incentives - tax credits regionally, for education and training",community benefit agreements,state level collaboration - regional board,state level policies,export of labor/expertise,political and economic environment,appetite and demand for projects and dev,research and development,education and training opportunities,knowledge and familiarity with industry!,physical location/timing,ONG Industry,educational/training coordination,innovation,decarbonization,energy security,lack of state level competition/collaboration,clean energy,local appetite for development,cost/appetite to develop/certainty,remove good faith exemption for apprenticeships and prevailing wage,streamlining permitting,"standardizations - QC, safety, etc",developer/stakeholder engagement -EEJ/SJ communities,,,,,wage differential
research and development,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0
education and training opportunities,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral
knowledge and familiarity with industry!,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physical location/timing,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONG Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
educational/training coordination,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
innovation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decarbonization,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0
energy security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0
lack of state level competition/collaboration,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean energy,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0
local appetite for development,0,Neutral,0,0,0,0,0,0,Neutral,0,0,0,0,Neutral,Neutral,Neutral,Neutral,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,Neutral,0,0,0,0,0
cost/appetite to develop/certainty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral
remove good faith exemption for apprenticeships and prevailing wage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
streamlining permitting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"standardizations - QC, safety, etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
developer/stakeholder engagement -EEJ/SJ communities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wage differential,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
