model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gemini-2.0-flash,BD084,0.3333333333333333,9.0,15.0,42.0,27.0,0.6,1.0,1.1,28.0,40.0,23.0,66.0
gemini-2.0-flash,BD086,0.4606741573033708,15.0,10.0,25.0,23.0,0.6,1.0,1.1,28.0,41.0,19.0,50.0
gemini-2.0-flash,BD088,0.6339434276206323,37.0,2.0,19.0,25.0,0.6,1.0,1.1,32.0,40.0,13.0,58.0
gemini-2.0-flash,BD089,0.3223140495867768,7.0,5.0,12.0,29.0,0.6,1.0,1.1,35.0,42.0,7.0,24.0
gpt-4.1,BD008,0.3199651264167393,9.0,17.0,26.0,52.0,0.6,1.0,1.1,30.0,96.0,13.0,52.0
gpt-4.1,BD015,0.4758394758394759,23.0,11.0,46.0,18.0,0.6,1.0,1.1,8.0,44.0,46.0,80.0
gpt-4.1,BD023,0.4305694305694306,21.0,1.0,37.0,20.0,0.6,1.0,1.1,22.0,34.0,45.0,59.0
gpt-4.1,BD029,0.3444730077120823,9.0,8.0,30.0,21.0,0.6,1.0,1.1,30.0,36.0,26.0,47.0
gpt-4.1,BD033,0.3493150684931507,12.0,6.0,37.0,20.0,0.6,1.0,1.1,27.0,34.0,27.0,55.0
gpt-4.1,BD034,0.5647193585337915,23.0,3.0,24.0,14.0,0.6,1.0,1.1,15.0,38.0,9.0,50.0
gpt-4.1,BD043,0.1052631578947368,3.0,0.0,2.0,49.0,0.6,1.0,1.1,20.0,99.0,3.0,5.0
gpt-4.1,BD045,0.0833333333333333,1.0,0.0,0.0,22.0,0.6,1.0,1.1,22.0,32.0,2.0,1.0
gpt-4.1,BD046,0.3954248366013072,22.0,4.0,38.0,36.0,0.6,1.0,1.1,33.0,51.0,35.0,64.0
gpt-4.1,BD053,0.4311624072547403,19.0,13.0,54.0,15.0,0.6,1.0,1.1,26.0,32.0,58.0,86.0
gpt-4.1,BD056,0.0,0.0,0.0,0.0,59.0,0.6,1.0,1.1,22.0,59.0,0.0,0.0
gpt-4.1,BD059,0.0606060606060606,1.0,0.0,3.0,28.0,0.6,1.0,1.1,18.0,33.0,3.0,4.0
gpt-4.1,BD061,0.3075539568345324,16.0,2.0,52.0,25.0,0.6,1.0,1.1,19.0,40.0,47.0,70.0
gpt-4.1,BD063,0.3289841565703634,16.0,3.0,51.0,21.0,0.6,1.0,1.1,27.0,37.0,53.0,70.0
gpt-4.1,BD076,0.3777292576419214,14.0,6.0,24.0,33.0,0.6,1.0,1.1,36.0,56.0,9.0,44.0
gpt-4.1,BD081,0.4885361552028218,41.0,1.0,65.0,22.0,0.6,1.0,1.1,30.0,39.0,68.0,107.0
gpt-4.1,BD082,0.3861892583120204,21.0,3.0,42.0,30.0,0.6,1.0,1.1,34.0,44.0,30.0,66.0
gpt-4.1,BD083,0.2052401746724891,9.0,5.0,47.0,44.0,0.6,1.0,1.1,39.0,53.0,40.0,61.0
gpt-4.1,BD084,0.289131920710868,14.0,13.0,80.0,24.0,0.6,1.0,1.1,28.0,40.0,70.0,107.0
gpt-4.1,BD086,0.5056818181818182,39.0,10.0,65.0,22.0,0.6,1.0,1.1,28.0,41.0,63.0,114.0
gpt-4.1,BD088,0.1338582677165354,2.0,1.0,2.0,31.0,0.6,1.0,1.1,32.0,40.0,3.0,5.0
gpt-4.1,BD089,0.4360086767895879,19.0,2.0,21.0,31.0,0.6,1.0,1.1,35.0,42.0,7.0,42.0
gpt-4.1-mini,BD008,0.3879615579160344,18.0,37.0,75.0,46.0,0.6,1.0,1.1,30.0,96.0,81.0,130.0
gpt-4.1-mini,BD015,0.4307196562835661,14.0,11.0,35.0,18.0,0.6,1.0,1.1,8.0,44.0,28.0,60.0
gpt-4.1-mini,BD023,0.3227091633466135,7.0,2.0,12.0,22.0,0.6,1.0,1.1,22.0,34.0,15.0,21.0
gpt-4.1-mini,BD029,0.3084522502744237,8.0,11.0,40.0,23.0,0.6,1.0,1.1,30.0,36.0,39.0,59.0
gpt-4.1-mini,BD033,0.4129979035639413,12.0,14.0,38.0,18.0,0.6,1.0,1.1,27.0,34.0,33.0,64.0
gpt-4.1-mini,BD034,0.5420420420420421,35.0,2.0,50.0,11.0,0.6,1.0,1.1,15.0,38.0,47.0,87.0
gpt-4.1-mini,BD043,0.3542074363992172,17.0,2.0,18.0,48.0,0.6,1.0,1.1,20.0,99.0,16.0,37.0
gpt-4.1-mini,BD045,0.4883303411131059,25.0,4.0,37.0,20.0,0.6,1.0,1.1,22.0,32.0,56.0,66.0
gpt-4.1-mini,BD046,0.3575757575757576,12.0,5.0,17.0,36.0,0.6,1.0,1.1,33.0,51.0,7.0,34.0
gpt-4.1-mini,BD053,0.425,20.0,10.0,54.0,15.0,0.6,1.0,1.1,26.0,32.0,54.0,84.0
gpt-4.1-mini,BD056,0.4224924012158055,17.0,7.0,29.0,28.0,0.6,1.0,1.1,22.0,59.0,35.0,53.0
gpt-4.1-mini,BD059,0.4795127353266888,20.0,3.0,27.0,20.0,0.6,1.0,1.1,18.0,33.0,23.0,50.0
gpt-4.1-mini,BD061,0.385593220338983,16.0,4.0,33.0,25.0,0.6,1.0,1.1,19.0,40.0,43.0,53.0
gpt-4.1-mini,BD063,0.4284064665127021,36.0,2.0,78.0,21.0,0.6,1.0,1.1,27.0,37.0,72.0,116.0
gpt-4.1-mini,BD076,0.3837753510140406,18.0,12.0,45.0,34.0,0.6,1.0,1.1,36.0,56.0,40.0,75.0
gpt-4.1-mini,BD081,0.5301204819277109,44.0,0.0,57.0,21.0,0.6,1.0,1.1,30.0,39.0,62.0,101.0
gpt-4.1-mini,BD082,0.2449664429530201,4.0,6.0,16.0,29.0,0.6,1.0,1.1,34.0,44.0,11.0,26.0
gpt-4.1-mini,BD083,0.3842105263157894,20.0,30.0,84.0,33.0,0.6,1.0,1.1,39.0,53.0,124.0,134.0
gpt-4.1-mini,BD084,0.1965811965811965,3.0,5.0,18.0,29.0,0.6,1.0,1.1,28.0,40.0,13.0,26.0
gpt-4.1-mini,BD086,0.4893617021276595,29.0,10.0,49.0,23.0,0.6,1.0,1.1,28.0,41.0,44.0,88.0
gpt-4.1-mini,BD088,0.5732298739088264,29.0,1.0,18.0,26.0,0.6,1.0,1.1,32.0,40.0,9.0,48.0
gpt-4.1-mini,BD089,0.4288304623753399,22.0,3.0,35.0,28.0,0.6,1.0,1.1,35.0,42.0,29.0,60.0
gpt-4o,BD008,0.2154566744730678,7.0,4.0,20.0,47.0,0.6,1.0,1.1,30.0,96.0,16.0,31.0
gpt-4o,BD015,0.2857142857142857,5.0,0.0,7.0,18.0,0.6,1.0,1.1,8.0,44.0,4.0,12.0
gpt-4o,BD023,0.5102040816326531,25.0,0.0,29.0,19.0,0.6,1.0,1.1,22.0,34.0,26.0,54.0
gpt-4o,BD029,0.2805755395683453,7.0,5.0,25.0,25.0,0.6,1.0,1.1,30.0,36.0,23.0,37.0
gpt-4o,BD033,0.412484700122399,13.0,7.0,29.0,19.0,0.6,1.0,1.1,27.0,34.0,14.0,49.0
gpt-4o,BD034,0.5273109243697479,24.0,2.0,34.0,11.0,0.6,1.0,1.1,15.0,38.0,22.0,60.0
gpt-4o,BD043,0.3364928909952606,15.0,5.0,25.0,45.0,0.6,1.0,1.1,20.0,99.0,11.0,45.0
gpt-4o,BD045,0.4334277620396601,12.0,6.0,21.0,19.0,0.6,1.0,1.1,22.0,32.0,15.0,39.0
gpt-4o,BD046,0.4092827004219409,15.0,8.0,22.0,34.0,0.6,1.0,1.1,33.0,51.0,13.0,45.0
gpt-4o,BD053,0.5353982300884955,22.0,4.0,26.0,16.0,0.6,1.0,1.1,26.0,32.0,13.0,52.0
gpt-4o,BD056,0.4080996884735202,18.0,3.0,24.0,33.0,0.6,1.0,1.1,22.0,59.0,13.0,45.0
gpt-4o,BD059,0.5200892857142858,20.0,6.0,23.0,20.0,0.6,1.0,1.1,18.0,33.0,14.0,49.0
gpt-4o,BD061,0.425287356321839,20.0,4.0,35.0,25.0,0.6,1.0,1.1,19.0,40.0,22.0,59.0
gpt-4o,BD063,0.2612859097127223,9.0,1.0,32.0,22.0,0.6,1.0,1.1,27.0,37.0,27.0,42.0
gpt-4o,BD076,0.3666666666666666,11.0,10.0,22.0,35.0,0.6,1.0,1.1,36.0,56.0,8.0,43.0
gpt-4o,BD081,0.492063492063492,31.0,0.0,44.0,20.0,0.6,1.0,1.1,30.0,39.0,43.0,75.0
gpt-4o,BD082,0.3487109905020353,9.0,7.0,24.0,24.0,0.6,1.0,1.1,34.0,44.0,19.0,40.0
gpt-4o,BD083,0.2744063324538259,6.0,8.0,24.0,31.0,0.6,1.0,1.1,39.0,53.0,22.0,38.0
gpt-4o,BD084,0.3148880105401844,7.0,9.0,25.0,27.0,0.6,1.0,1.1,28.0,40.0,13.0,41.0
gpt-4o,BD086,0.2800788954635108,12.0,4.0,50.0,23.0,0.6,1.0,1.1,28.0,41.0,45.0,66.0
gpt-4o,BD088,0.054054054054054,1.0,0.0,0.0,35.0,0.6,1.0,1.1,32.0,40.0,2.0,1.0
gpt-4o,BD089,0.3838862559241706,14.0,4.0,22.0,30.0,0.6,1.0,1.1,35.0,42.0,11.0,40.0
gpt-5,BD008,0.1721419185282523,6.0,1.0,12.0,51.0,0.6,1.0,1.1,30.0,96.0,5.0,19.0
gpt-5,BD015,0.4517282479141835,14.0,9.0,28.0,18.0,0.6,1.0,1.1,8.0,44.0,8.0,51.0
gpt-5,BD023,0.4846491228070175,21.0,2.0,29.0,18.0,0.6,1.0,1.1,22.0,34.0,24.0,52.0
gpt-5,BD029,0.2527472527472527,3.0,5.0,12.0,22.0,0.6,1.0,1.1,30.0,36.0,10.0,20.0
gpt-5,BD033,0.3373493975903614,9.0,4.0,22.0,22.0,0.6,1.0,1.1,27.0,34.0,18.0,35.0
gpt-5,BD034,0.25,3.0,0.0,7.0,11.0,0.6,1.0,1.1,15.0,38.0,4.0,10.0
gpt-5,BD043,0.275,11.0,0.0,9.0,49.0,0.6,1.0,1.1,20.0,99.0,5.0,20.0
gpt-5,BD045,0.3890020366598778,9.0,1.0,9.0,21.0,0.6,1.0,1.1,22.0,32.0,5.0,19.0
gpt-5,BD046,0.077490774907749,1.0,2.0,9.0,41.0,0.6,1.0,1.1,33.0,51.0,8.0,12.0
gpt-5,BD053,0.3339862879529873,11.0,11.0,53.0,15.0,0.6,1.0,1.1,26.0,32.0,42.0,75.0
gpt-5,BD056,0.3029871977240398,9.0,3.0,18.0,31.0,0.6,1.0,1.1,22.0,59.0,17.0,30.0
gpt-5,BD059,0.4265593561368209,19.0,4.0,38.0,19.0,0.6,1.0,1.1,18.0,33.0,24.0,61.0
gpt-5,BD061,0.4748240389821332,40.0,7.0,72.0,25.0,0.6,1.0,1.1,19.0,40.0,69.0,119.0
gpt-5,BD063,0.3463302752293578,14.0,2.0,37.0,20.0,0.6,1.0,1.1,27.0,37.0,34.0,53.0
gpt-5,BD076,0.0697674418604651,0.0,3.0,3.0,41.0,0.6,1.0,1.1,36.0,56.0,3.0,6.0
gpt-5,BD081,0.524822695035461,37.0,0.0,47.0,20.0,0.6,1.0,1.1,30.0,39.0,49.0,84.0
gpt-5,BD082,0.4670280036133695,22.0,7.0,32.0,27.0,0.6,1.0,1.1,34.0,44.0,35.0,61.0
gpt-5,BD083,0.0,0.0,0.0,2.0,53.0,0.6,1.0,1.1,39.0,53.0,2.0,2.0
gpt-5,BD084,0.3504736129905277,8.0,9.0,21.0,27.0,0.6,1.0,1.1,28.0,40.0,22.0,38.0
gpt-5,BD086,0.4143167028199566,18.0,2.0,29.0,25.0,0.6,1.0,1.1,28.0,41.0,10.0,49.0
gpt-5,BD088,0.4620811287477954,24.0,4.0,35.0,26.0,0.6,1.0,1.1,32.0,40.0,15.0,63.0
gpt-5,BD089,0.2083333333333333,5.0,0.0,7.0,31.0,0.6,1.0,1.1,35.0,42.0,4.0,12.0
