,wild salmon,over harvest in commercial fisheries,habitat restoration,non-tribal gillnetting - non selective,incidental catch in other fisheries,cca wa,hydro power,hatchery production,healthy ecosystem,forage fish,beavers,habitat,nutrient enhancement,sp of conservation concern,water quality,recreational fishing - selective,development,recreation (white water rafting),concrete docks - hard structure,"soft structure - parks, trees",runoff,impervious surfaces,fast rise and drop of water after rains,sedimentation,wash out of juveniles,brake dust,chemical dumping,harvest policies that favor commercial fishing,fishery management councils / state agencies,eliminating bycatch,salmon designed for harvest (mark selective),tribal groups,wild salmon advocates - non consumptive group,national lawsuits,diseases / bacteria,warming waters,dam removal (columbia river)
harvest policies that favor commercial fishing,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishery management councils / state agencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
eliminating bycatch,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salmon designed for harvest (mark selective),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tribal groups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wild salmon advocates - non consumptive group,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
national lawsuits,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diseases / bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warming waters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dam removal (columbia river),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
