model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gpt-4.1,125,0.0,0.0,0.0,2.0,39.0,0.6,1.0,1.1,23.0,39.0,2.0,2.0
gpt-4.1,126,0.3131868131868132,16.0,2.0,36.0,39.0,0.6,1.0,1.1,28.0,57.0,29.0,54.0
gpt-4.1,127,0.3865628042843232,16.0,7.0,30.0,33.0,0.6,1.0,1.1,28.0,56.0,10.0,53.0
gpt-4.1,128,0.3157519600855309,15.0,13.0,45.0,51.0,0.6,1.0,1.1,40.0,79.0,45.0,73.0
gpt-4.1,129,0.2920353982300885,11.0,1.0,36.0,20.0,0.6,1.0,1.1,24.0,32.0,13.0,48.0
gpt-4.1,130,0.0653008962868117,2.0,1.0,3.0,70.0,0.6,1.0,1.1,35.0,73.0,3.0,6.0
gpt-4.1,131,0.3532338308457711,15.0,5.0,30.0,35.0,0.6,1.0,1.1,27.0,55.0,9.0,50.0
gpt-4.1,132,0.3190998268897864,26.0,3.0,81.0,37.0,0.6,1.0,1.1,32.0,66.0,70.0,110.0
gpt-4.1,133,0.0,0.0,0.0,2.0,61.0,0.6,1.0,1.1,32.0,61.0,2.0,2.0
gpt-4.1,134,0.0425531914893617,1.0,0.0,0.0,45.0,0.6,1.0,1.1,24.0,46.0,2.0,1.0
gpt-4.1,135,0.3266253869969041,20.0,2.0,57.0,30.0,0.6,1.0,1.1,35.0,52.0,38.0,79.0
gpt-4.1,136,0.2892561983471074,12.0,10.0,28.0,58.0,0.6,1.0,1.1,44.0,80.0,13.0,50.0
gpt-4.1,137,0.3665158371040724,14.0,4.0,24.0,32.0,0.6,1.0,1.1,31.0,50.0,9.0,42.0
gpt-4.1,138,0.3886966551326413,13.0,7.0,30.0,23.0,0.6,1.0,1.1,32.0,43.0,8.0,50.0
gpt-4.1,139,0.0,0.0,0.0,2.0,24.0,0.6,1.0,1.1,19.0,24.0,2.0,2.0
gpt-4.1,140,0.1521197007481296,5.0,2.0,16.0,52.0,0.6,1.0,1.1,32.0,59.0,8.0,23.0
gpt-4.1,141,0.413265306122449,21.0,6.0,27.0,42.0,0.6,1.0,1.1,41.0,69.0,15.0,54.0
gpt-4.1,143,0.2555831265508685,14.0,12.0,51.0,69.0,0.6,1.0,1.1,46.0,95.0,45.0,77.0
gpt-4.1,144,0.3607954545454545,21.0,8.0,36.0,54.0,0.6,1.0,1.1,47.0,83.0,36.0,65.0
gpt-4.1,145,0.131578947368421,5.0,0.0,7.0,59.0,0.6,1.0,1.1,37.0,64.0,4.0,12.0
gpt-4.1,146,0.3306772908366533,18.0,5.0,28.0,56.0,0.6,1.0,1.1,42.0,79.0,14.0,51.0
gpt-4.1,147,0.1257668711656441,3.0,2.0,6.0,51.0,0.6,1.0,1.1,40.0,56.0,4.0,11.0
gpt-4.1,148,0.4475138121546961,14.0,4.0,27.0,13.0,0.6,1.0,1.1,20.0,31.0,10.0,45.0
gpt-4.1,149,0.2857142857142856,14.0,8.0,26.0,66.0,0.6,1.0,1.1,42.0,88.0,16.0,48.0
gpt-4.1,150,0.0377358490566037,1.0,0.0,0.0,51.0,0.6,1.0,1.1,35.0,52.0,2.0,1.0
gpt-4.1,151,0.4301470588235294,19.0,8.0,25.0,37.0,0.6,1.0,1.1,38.0,64.0,26.0,52.0
gpt-4.1,152,0.2385786802030456,9.0,5.0,22.0,53.0,0.6,1.0,1.1,33.0,67.0,20.0,36.0
gpt-4.1,153,0.0960451977401129,2.0,1.0,3.0,45.0,0.6,1.0,1.1,27.0,48.0,3.0,6.0
